"Fantasy Football Rankings — SYNTHETIC SAMPLE DATA — NOT REAL RANKINGS"
"Half PPR scoring. Generated for testing the draft assistant."

RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,ECR VS. ADP,AVG.,BEST,WORST,STD.DEV
1,1,RB Sample 01,PIT,RB1,10,1,+0,3.7,1,9,2.2
2,1,RB Sample 02,NYG,RB2,13,1,-0.2,4.3,1,10,3.2
3,1,WR Sample 01,DET,WR1,10,1,+5.4,2.7,1,4,3.9
4,1,QB Sample 01,PIT,QB1,10,2,-3,3.3,1,5,2.1
5,1,RB Sample 03,CHI,RB3,6,5,-0.8,6.7,5,10,3.5
6,1,TE Sample 01,LAC,TE1,10,4,-2.6,7.0,6,9,1.7
7,1,WR Sample 02,HOU,WR2,13,5,-0.5,8.0,3,14,3.1
8,1,RB Sample 04,HOU,RB4,9,1,+3.1,8.7,1,17,3.9
9,1,RB Sample 05,KC,RB5,12,2,-4.9,10.0,3,18,2.1
10,1,WR Sample 03,PHI,WR3,6,4,-4.8,7.7,3,10,2.2
11,2,QB Sample 02,ATL,QB2,13,2,+1.3,10.3,4,16,2.6
12,2,TE Sample 02,ARI,TE2,13,2,-1.3,13.7,12,17,1.8
13,2,RB Sample 06,PHI,RB6,5,5,+5.2,14.3,8,22,0.5
14,2,WR Sample 04,CIN,WR4,9,1,+1,12.0,8,14,2.5
15,2,RB Sample 07,CLE,RB7,8,2,-0.7,16.7,13,22,2.2
16,2,WR Sample 05,CIN,WR5,12,2,-0.8,18.0,14,24,2.1
17,2,QB Sample 03 II,NYJ,QB3,6,3,-2.6,15.0,11,17,4.1
18,2,TE Sample 03,WAS,TE3,6,3,+1.3,19.0,17,22,3.7
19,2,RB Sample 08,ATL,RB8,11,4,-0.7,21.0,18,26,1.6
20,2,WR Sample 06,ATL,WR6,5,4,-1.9,20.0,18,22,3.8
21,3,RB Sample 09,NYG,RB9,14,1,-5.5,19.7,13,25,1.1
22,3,WR Sample 07,GB,WR7,8,5,-2.9,21.7,17,26,2.9
23,3,QB Sample 04,CAR,QB4,9,2,-2.6,24.0,22,27,4.1
24,3,RB Sample 10,MIN,RB10,7,2,+0.9,27.0,24,33,0.7
25,3,TE Sample 04,LAC,TE4,9,3,-2.5,23.0,18,26,4.0
26,3,WR Sample 08,JAX,WR8,11,5,-2.5,29.3,26,36,4.1
27,3,RB Sample 11,JAX,RB11,10,2,-1.8,24.7,19,28,2.4
28,3,WR Sample 09,KC,WR9,14,5,+1.2,29.0,21,38,4.1
29,3,RB Sample 12,TEN,RB12,13,3,+3.8,30.0,29,32,3.6
30,3,QB Sample 05,HOU,QB5,12,3,-4.6,32.7,30,38,0.6
31,4,TE Sample 05,DET,TE5,12,1,-3.7,31.7,29,35,2.1
32,4,WR Sample 10,KC,WR10,7,2,+1.5,32.0,32,32,2.4
33,4,RB Sample 13,PHI,RB13,6,5,+0.6,32.7,32,33,0.9
34,4,WR Sample 11 Jr.,CIN,WR11,10,4,-0.7,33.7,30,37,4.2
